CODIGO;DESCRIPCION;PRESENTACION;EXISTENCIAS
625;ACETONA;Unidad;3
1585;AGENDA 2500;Unidad;-1
1483;AGENDA CUERO;Unidad;0
1383;AGENDAS 2026 VARIADAS;Unidad;5
1503;AGENDAS DE 14900;Unidad;2
1119;ALCANCIA BOLA FUTBOOL;Unidad;0
1355;ALFOMBRAS NAVIDE�AS DE SNOOPY Y GRINCH;Unidad;2
A209;ALMOHADA BELLA DURMIENTE;Unidad;1
A210;ALMOHADA BELLA Y LA BESTIA;Unidad;1
A208;ALMOHADA CENICIENTA;Unidad;-1
A192;ALMOHADA CON COBIJA KUROMI;Unidad;1
589;ALMOHADA CON COBIJA STITCH;Unidad;-1
A198;ALMOHADA CUERPO BLUEY;Unidad;0
A196;ALMOHADA CUERPO SHREK;Unidad;0
A167;ALMOHADA DE CARA DE LABUBU;Unidad;4
1217;ALMOHADA DE CARA DE SNOOPY Y PAJARITO;Unidad;2
A557;ALMOHADA DE CERDITO;Unidad;-1
A187;ALMOHADA DE FIGURA DE DEADPOOL;Unidad;2
495;ALMOHADA DE FORMA SONIC - HOMERO;Unidad;1
1000;ALMOHADA DE KIRBY;Unidad;1
A193;ALMOHADA DE KUROMI;Unidad;1
1225;almohada de mack cars;Unidad;1
1223;almohada de rayo mcqueen 52cm;Unidad;1
1224;almohada de shape cars;Unidad;0
586;ALMOHADA DE SNOOPY;Unidad;-2
1220;almohada de snoopy casa grande;Unidad;1
1230;almohada de snoopy graduado sentado;Unidad;4
A469;ALMOHADA DE STICH 86CM;Unidad;2
A455;ALMOHADA DE STICH CON COBIJA;Unidad;3
A457;ALMOHADA DE STICH REVERSIBLE 38CM;Unidad;1
1226;almohada de stitch con orejas;Unidad;2
1218;almohada de woodstock 46cm;Unidad;2
A585;ALMOHADA FIGURA HARRY POTTER;Unidad;3
A181;ALMOHADA GRANDE DE DUMBO;Unidad;1
1222;almohada grande de woddstock;Unidad;2
1138;ALMOHADA GRANDE STITCH;Unidad;1
A340;ALMOHADA INTENSAMENTE 25CM;Unidad;2
A215;ALMOHADA LARGA HARRY POTTER;Unidad;1
A216;ALMOHADA LARGA JACK;Unidad;-1
A214;ALMOHADA LARGA ONE PIECE;Unidad;0
884;ALMOHADA LUCIFER;Unidad;1
883;ALMOHADA LUCIFER GRANDE;Unidad;2
A175;ALMOHADA OREJA RELIEVE DE SNOOPY;Unidad;1
A199;ALMOHADA PIKACHU;Unidad;1
A211;ALMOHADA RAPUNZEL;Unidad;1
A213;ALMOHADAS CILINDRICAS;Unidad;2
A190;ALMOHADAS CON FORMAS DE CONTROL;Unidad;4
A217;ALMOHADAS CUADRADAS;Unidad;66
A194;ALMOHADAS DE FIGURAS;Unidad;54
1219;almohadas de snoopy graduado;Unidad;6
1482;ALMOHADAS DE SOUTH PARK;Unidad;8
A207;ALMOHADA SIRENITA;Unidad;1
A165;ALMOHADAS LARGAS STITCH;Unidad;2
810;ALMOHADAS RECTANGULARES;Unidad;21
P195;ALMOHADA WINNIE POOH CON COBIJA;Unidad;0
A166;ALMOHADON CARA DE PANDA;Unidad;0
430;ALMOHADON CUADRADO;Unidad;6
1064;ALMOHADON DE FIGURA DE BATMAN;Unidad;1
A174;ALMOHADON FIGURA DE SNOOPY;Unidad;3
A180;ALMOHADON GRANDE DE SULLIVAN;Unidad;1
1092;ANILLO;Unidad;-4
636;anillo bambu;Unidad;-2
A822;ANILLOS DE ACERO;Unidad;410
A823;ANILLOS DE PLATA A�EJADA;Unidad;16
1412;ANTEOJOS DE NI�OS DE BLUEY Y SPIDERMAN;Unidad;3
1080;antifaz;Unidad;1
436;ARETES;Unidad;0
A812;ARETES ACERO;Unidad;19
784;ARETES CEREZA;Unidad;0
786;ARETES CHERRY;Unidad;2
900;ARETES CON LICENCIA ORIGINAL;Unidad;5
785;ARETES DE CEREZA GRANDE;Unidad;4
1139;ARETES DE HOJAS;Unidad;12
859;ARETES DE PLATA;Unidad;0
A813;ARETES FINOS;Unidad;18
A580;ARETES HALLOWEEN;Unidad;3
1322;ARMABLE DE DINOSAURIO MOREINONE;Unidad;0
650;ARMABLE DE EL PRINCIPITO STARRY RIDE ROSE;Unidad;1
653;ARMABLE DEL PRINCIPITO LE PETIT PRINCE ROSE;Unidad;1
652;ARMABLE DEL PRINCIPITO ROSE SWING;Unidad;0
651;armable del principito ROSE WHISPERS;Unidad;1
647;ARMABLE DEL PRINCIPITO STARLIGNT LAMP;Unidad;1
649;ARMABLE DEL PRINCIPITO STARRY RIDE PLANE;Unidad;-3
646;ARMABLE DEL PRINCIPITO STARRY RIDE POCKET WATCH;Unidad;3
648;ARMABLE EL PRINCIPITO 336 PIEZAS;Unidad;1
1295;ARMABLES DE DINOSAURIOS TIRANOSAURIO Y TRICERATOPS;Unidad;1
1296;ARMABLES DE DINOSAURIOS TRICERATOPS Y DINOSAUR;Unidad;1
879;AUDIFONOS DE STITCH;Unidad;-2
639;Audifonos Gamer;Unidad;2
1026;AUDIFONOS HARRY POTTER;Unidad;0
949;AUDIFONOS ONE PIECE;Unidad;2
1275;AVION A ESCALA GRANDE;Unidad;-2
1490;balsamo de stitch;Unidad;-4
1486;BALSAMO LABIAL DE SNOOPY;Unidad;6
1494;BALSAMOS CHERRY;Unidad;3
1413;BANDANA PARA MAQUILLAJE DE JACK - SALLY;Unidad;3
1083;BANDANAS NARUTO;Unidad;-1
B307;BARCOS DE ONE PIECE;Unidad;7
65;BASE NAILEN;Unidad;76
1264;BICICLETA EN CAJA;Unidad;1
5;BILLETERA 8500;Unidad;140
902;billetera calcifer;Unidad;2
1198;BILLETERA COMLOMBIANA PEQUE�A;Unidad;24
908;BILLETERA CON LICENCIA DE JACK;Unidad;1
B554;BILLETERA DE BEETLEJUICE;Unidad;1
1251;BILLETERA DE CUERO CABALLERO;Unidad;35
907;billetera de hello kitty;Unidad;0
4;BILLETERA DE HULE 10.000;Unidad;128
B553;BILLETERA DE KUROMI ORIGINAL;Unidad;2
904;billetera de marie;Unidad;-1
7;BILLETERA DE MUJER 8500;Unidad;63
B623;BILLETERA DE SNOOPY;Unidad;17
905;billetera de tinkerbell;Unidad;1
901;billetera my melody;Unidad;2
1032;billeteras colombianas;Unidad;-2
903;BILLETERAS CON LICENCIA ORIGINAL;Unidad;8
1375;BILLETERAS DE MINNIE MOUSE CON LICENCIA ORIGINAL;Unidad;3
6;BILLETERAS DE MUJER 10000;Unidad;121
899;BILLETERA STITCH;Unidad;0
B501;BILLETERA STITCH BLANCA CON LICENCIA ORIGINAL;Unidad;4
1508;BILLETERA TOMMY DE MUJER;Unidad;1
1414;BINCHA DE MAQUILLAJE DE SNOOPY;Unidad;1
1351;BISUTERIA FINA CON LICENCIA ORIGINAL;Unidad;12
493;BLOQUEADOR;Unidad;6
1380;BLUSAS GRISES DE MICKEY MOUSE;Unidad;2
1207;BOINA DE MARIO BROS Y LUIGUI;Unidad;8
B815;BOLAS SORPRESA;Unidad;0
805;BOLITA SORPRESA;Unidad;17
1067;BOLO DE VIAJE DE HELLO KITTY BLANCO;Unidad;0
